country,cases,health_expenditure
China,81285.0,426.0
Italy,74386.0,2700.0
USA,65797.0,
Spain,49515.0,2354.0
Germany,37323.0,4592.0
Iran,27017.0,
France,25233.0,4026.0
Switzerland,10897.0,9818.0
UK,9529.0,
S. Korea,9137.0,
Netherlands,6412.0,4746.0
Austria,5588.0,4536.0
Belgium,4937.0,4228.0
Canada,3409.0,4508.0
Norway,3084.0,7464.0
Portugal,2995.0,1722.0
Australia,2676.0,4934.0
Brazil,2554.0,780.0
Sweden,2526.0,5600.0
Turkey,2433.0,455.0
Israel,2369.0,2756.0
Malaysia,1796.0,386.0
Denmark,1724.0,5497.0
Czechia,1654.0,
Ireland,1564.0,4757.0
Luxembourg,1333.0,6236.0
Japan,1307.0,3733.0
Ecuador,1211.0,530.0
Chile,1142.0,1102.0
Pakistan,1063.0,38.0
Poland,1051.0,797.0
Thailand,934.0,217.0
Romania,906.0,442.0
Saudi Arabia,900.0,1194.0
Finland,880.0,4005.0
Greece,821.0,1505.0
Indonesia,790.0,112.0
Iceland,737.0,4375.0
Diamond Princess,712.0,
South Africa,709.0,471.0
Russia,658.0,
India,657.0,63.0
Philippines,636.0,127.0
Singapore,631.0,2280.0
Panama,558.0,921.0
Qatar,537.0,2030.0
Slovenia,528.0,1772.0
Argentina,502.0,998.0
Peru,480.0,323.0
Colombia,470.0,374.0
Egypt,456.0,157.0
Croatia,442.0,852.0
Bahrain,419.0,1190.0
Hong Kong,410.0,
Mexico,405.0,535.0
Estonia,404.0,1112.0
Dominican Republic,392.0,397.0
Serbia,384.0,491.0
Iraq,346.0,154.0
Lebanon,333.0,645.0
UAE,333.0,
Algeria,302.0,292.0
New Zealand,283.0,3554.0
Lithuania,274.0,923.0
Armenia,265.0,366.0
Bulgaria,242.0,572.0
Taiwan,235.0,
Hungary,226.0,894.0
Morocco,225.0,160.0
Latvia,221.0,784.0
Uruguay,217.0,1281.0
Slovakia,216.0,1108.0
San Marino,208.0,3243.0
Costa Rica,201.0,929.0
Kuwait,195.0,1169.0
Andorra,188.0,4316.0
North Macedonia,177.0,295.0
Bosnia and Herzegovina,176.0,431.0
Tunisia,173.0,258.0
Jordan,172.0,257.0
Moldova,149.0,
Vietnam,148.0,
Albania,146.0,266.0
Burkina Faso,146.0,33.0
Ukraine,145.0,125.0
Cyprus,132.0,1563.0
Faeroe Islands,132.0,
Malta,129.0,2304.0
Réunion,111.0,
Brunei,109.0,
Venezuela,106.0,
Sri Lanka,102.0,118.0
Oman,99.0,636.0
Senegal,99.0,36.0
Cambodia,96.0,70.0
Ghana,93.0,80.0
Azerbaijan,93.0,368.0
Belarus,86.0,352.0
Afghanistan,84.0,60.0
Kazakhstan,81.0,379.0
Ivory Coast,80.0,
Cameroon,75.0,64.0
Georgia,75.0,281.0
Guadeloupe,73.0,
Palestine,71.0,
Martinique,66.0,
Trinidad and Tobago,60.0,1146.0
Uzbekistan,60.0,134.0
Cuba,57.0,
Montenegro,53.0,382.0
Honduras,52.0,177.0
Nigeria,51.0,97.0
Liechtenstein,51.0,
DRC,48.0,
Mauritius,48.0,506.0
Channel Islands,46.0,
Kyrgyzstan,44.0,92.0
Rwanda,41.0,57.0
Bangladesh,39.0,32.0
Paraguay,37.0,321.0
Mayotte,36.0,
Bolivia,32.0,197.0
Monaco,31.0,3316.0
Macao,30.0,
French Guiana,28.0,
Kenya,28.0,70.0
Jamaica,26.0,294.0
Gibraltar,26.0,
French Polynesia,25.0,
Guatemala,24.0,224.0
Isle of Man,23.0,
Togo,23.0,37.0
Aruba,19.0,
Madagascar,19.0,21.0
Barbados,18.0,1160.0
New Caledonia,14.0,
Uganda,14.0,46.0
Maldives,13.0,944.0
Tanzania,13.0,
Ethiopia,12.0,24.0
Zambia,12.0,69.0
Djibouti,11.0,82.0
Dominica,11.0,384.0
Saint Martin,11.0,
Mongolia,10.0,152.0
El Salvador,9.0,283.0
Equatorial Guinea,9.0,280.0
Cayman Islands,8.0,
Haiti,8.0,54.0
Suriname,8.0,577.0
Niger,7.0,26.0
Bermuda,7.0,
Namibia,7.0,423.0
Seychelles,7.0,492.0
Curaçao,6.0,
Gabon,6.0,198.0
Benin,6.0,31.0
Greenland,6.0,
Guyana,5.0,184.0
Bahamas,5.0,1685.0
Fiji,5.0,175.0
Mozambique,5.0,28.0
Syria,5.0,
Cabo Verde,4.0,
Congo,4.0,59.0
Eritrea,4.0,31.0
Guinea,4.0,25.0
Vatican City,4.0,
Eswatini,4.0,
Gambia,3.0,32.0
Sudan,3.0,152.0
Zimbabwe,3.0,94.0
Nepal,3.0,44.0
Angola,3.0,109.0
Antigua and Barbuda,3.0,657.0
CAR,3.0,
Chad,3.0,36.0
Laos,3.0,
Liberia,3.0,69.0
Myanmar,3.0,59.0
St. Barth,3.0,
Saint Lucia,3.0,482.0
Sint Maarten,3.0,
Belize,2.0,301.0
Bhutan,2.0,91.0
British Virgin Islands,2.0,
Guinea-Bissau,2.0,39.0
Mali,2.0,42.0
Mauritania,2.0,54.0
Nicaragua,2.0,163.0
Saint Kitts and Nevis,2.0,907.0
Grenada,1.0,460.0
Libya,1.0,
Montserrat,1.0,
Papua New Guinea,1.0,77.0
St. Vincent Grenadines,1.0,
Somalia,1.0,
Timor-Leste,1.0,72.0
Turks and Caicos,1.0,
