event,link,start
PyCon JP 2020,/events/python-events/951/,2020-08-28T00:00:00+00:00
PyCon TW 2020,/events/python-events/963/,2020-09-05T00:00:00+00:00
PyCon SK 2020,/events/python-events/879/,2020-09-11T00:00:00+00:00
DjangoCon Europe 2020,/events/python-events/891/,2020-09-16T00:00:00+00:00
PyCon APAC 2020,/events/python-events/952/,2020-09-19T00:00:00+00:00
DragonPy 2020,/events/python-events/910/,2020-09-19T00:00:00+00:00
Django Day Copenhagen,/events/python-events/881/,2020-09-25T00:00:00+00:00
PyCon Turkey,/events/python-events/888/,2020-09-26T00:00:00+00:00
Python Meeting Düsseldorf,/events/python-user-group/911/,2020-09-30T16:00:00+00:00
PyCon India 2020,/events/python-events/961/,2020-10-02T00:00:00+00:00
PyCon Estonia 20,/events/python-events/972/,2020-10-08T06:00:00+00:00
PyConDE & PyData Berlin 2020,/events/python-events/883/,2020-10-14T00:00:00+00:00
Swiss Python Summit,/events/python-events/897/,2020-10-23T00:00:00+00:00
PyCC Meetup'19 (Python Cape Coast User Group),/events/python-user-group/874/,2020-10-26T08:00:00+00:00
Python Brasil 2020,/events/python-events/877/,2020-10-28T00:00:00+00:00
SciPy Japan 2020,/events/python-events/973/,2020-10-30T00:00:00+00:00
PyData London 2020,/events/python-events/954/,2020-10-30T00:00:00+00:00
PyCon Italia 2020,/events/python-events/884/,2020-11-05T00:00:00+00:00
enterPy,/events/python-user-group/903/,2020-11-23T00:00:00+00:00
PyCon US 2021,/events/python-events/893/,2021-05-12T00:00:00+00:00
SciPy 2021,/events/python-events/833/,2021-07-12T00:00:00+00:00
EuroPython 2021,/events/python-events/964/,2021-07-26T00:00:00+00:00
