Team,GP,W,spend,mpw
Boston Bruins,70,44.0,81653080.0,1.86
Tampa Bay Lightning,70,43.0,80238349.0,1.87
Toronto Maple Leafs,70,36.0,95178332.0,2.64
Florida Panthers,69,35.0,81225935.0,2.32
Montreal Canadiens,71,31.0,76960206.0,2.48
Buffalo Sabres,69,30.0,82803567.0,2.76
Ottawa Senators,71,25.0,74319369.0,2.97
Detroit Red Wings,71,17.0,79968736.0,4.7
Washington Capitals,69,41.0,81564505.0,1.99
Philadelphia Flyers,69,41.0,82693252.0,2.02
Pittsburgh Penguins,69,40.0,81786224.0,2.04
Carolina Hurricanes,68,38.0,82410912.0,2.17
Columbus Blue Jackets,70,33.0,76432899.0,2.32
New York Islanders,68,35.0,78397298.0,2.24
New York Rangers,70,37.0,77613415.0,2.1
New Jersey Devils,69,28.0,72724318.0,2.6
St. Louis Blues,71,42.0,83216941.0,1.98
Colorado Avalanche,70,42.0,76067463.0,1.81
Dallas Stars,69,37.0,82023704.0,2.22
Winnipeg Jets,71,37.0,77777881.0,2.1
Nashville Predators,69,35.0,79117103.0,2.26
Minnesota Wild,69,35.0,78572348.0,2.24
Chicago Blackhawks,70,32.0,82524710.0,2.58
Vegas Golden Knights,71,39.0,81707634.0,2.1
Edmonton Oilers,71,37.0,81203351.0,2.19
Calgary Flames,70,36.0,80849721.0,2.25
Vancouver Canucks,69,36.0,83799550.0,2.33
Arizona Coyotes,70,33.0,85089798.0,2.58
Anaheim Ducks,71,29.0,78692637.0,2.71
Los Angeles Kings,70,29.0,74508673.0,2.57
San Jose Sharks,70,29.0,81010454.0,2.79
